iter	RMSE
0	74282.81439
1	70387.66924
2	66580.21107
3	63175.72069
4	60102.10202
5	57188.67513
6	54471.11151
7	51703.47159
8	49347.67295
9	47426.17404
10	45280.63377
11	43581.27397
12	42121.95322
13	40543.81268
14	39110.44958
15	37624.72159
16	36572.49732
17	35440.70641
18	34377.01335
19	33482.82138
20	32560.13975
21	31643.37949
22	30943.40345
23	30276.52528
24	29516.39852
25	28960.29227
26	28445.1058
27	27950.13256
28	27374.17096
29	26898.18428
30	26462.29525
31	26035.58066
32	25664.79133
33	25293.57231
34	25080.39091
35	24791.82928
36	24673.32068
37	24411.44818
38	24139.43126
39	23907.75198
40	23673.72273
41	23421.17067
42	23166.07447
43	22940.0225
44	22776.29302
45	22545.61704
46	22422.33607
47	22239.15225
48	21986.76886
49	21821.53241
50	21590.09222
51	21471.90773
52	21285.35361
53	21145.49242
54	20977.36928
55	20772.54045
56	20655.61838
57	20510.65247
58	20354.53773
59	20267.00571
60	20146.25373
61	20007.57516
62	19837.38828
63	19741.2972
64	19623.06603
65	19584.75594
66	19450.17806
67	19316.85659
68	19124.64609
69	19007.98651
70	18946.47567
71	18852.97585
72	18725.79382
73	18576.79348
74	18546.09121
75	18458.23136
76	18359.89611
77	18254.886
78	18173.48307
79	18119.52012
80	18007.56676
81	17971.89511
82	17879.06314
83	17789.68591
84	17759.21887
85	17682.98722
86	17647.63529
87	17546.2567
88	17436.58418
89	17337.68898
90	17241.93068
91	17164.25734
92	17126.77739
93	17009.15651
94	16887.28357
95	16784.54145
96	16699.45464
97	16616.34278
98	16539.53467
99	16508.0435
100	16413.7103
101	16342.43756
102	16301.30063
103	16260.78727
104	16240.33061
105	16221.90396
106	16193.72122
107	16176.38909
108	16158.26573
109	16088.7589
110	16026.31968
111	15958.05793
112	15918.63314
113	15903.86773
114	15820.56263
115	15770.42391
116	15756.83478
117	15701.9523
118	15685.70542
119	15590.49994
120	15536.51901
121	15454.23984
122	15363.56139
123	15333.08222
124	15319.14245
125	15214.18796
126	15129.50815
127	15096.43803
128	15083.93805
129	15006.55457
130	14949.7306
131	14866.17502
132	14800.05472
133	14734.35307
134	14658.578
135	14565.5082
136	14514.75822
137	14468.1569
138	14423.41071
139	14382.09924
140	14309.19377
141	14215.98984
142	14148.05226
143	14076.39624
144	14004.82287
145	13963.09889
146	13885.18138
147	13757.17485
148	13693.99391
149	13679.75568
150	13633.433
151	13549.60845
152	13540.44408
153	13463.05893
154	13407.52769
155	13398.52734
156	13349.13376
157	13300.41799
158	13229.09952
159	13187.35356
160	13112.89775
161	13028.12481
162	12980.90884
163	12933.16022
164	12902.60039
165	12849.35888
166	12769.91947
167	12728.28775
168	12659.85874
169	12608.57023
170	12568.32121
171	12489.95739
172	12416.03324
173	12376.98583
174	12359.94318
175	12316.45129
176	12254.93985
177	12247.11991
178	12200.52884
179	12193.83791
180	12155.25473
181	12136.49688
182	12079.69397
183	12073.97795
184	12035.60311
185	11963.41483
186	11927.20031
187	11874.33088
188	11869.62052
189	11836.67349
190	11832.28416
191	11800.66098
192	11794.09948
193	11790.11406
194	11785.45483
195	11734.34513
196	11724.75252
197	11720.78526
198	11646.73594
199	11602.63863
200	11562.32159
201	11534.77931
202	11493.71073
203	11468.03364
204	11420.11821
205	11367.58134
206	11346.60876
207	11306.73346
208	11276.08932
209	11229.14952
210	11225.93443
211	11135.32437
212	11117.00279
213	11089.93566
214	11063.95404
215	11045.65502
216	10989.26382
217	10968.85184
218	10922.05928
219	10906.03668
220	10857.42857
221	10824.98448
222	10803.46187
223	10764.61158
224	10721.64941
225	10678.58237
226	10645.7629
227	10614.48892
228	10570.46723
229	10531.23229
230	10505.20975
231	10442.12832
232	10402.17154
233	10368.39724
234	10328.3389
235	10269.31654
236	10264.47804
237	10231.48548
238	10190.46393
239	10177.43995
240	10143.14185
241	10107.21214
242	10067.50114
243	10027.51851
244	9976.634012
245	9953.865484
246	9935.872386
247	9917.776821
248	9885.225477
249	9851.939015
250	9847.420906
251	9832.012563
252	9796.535278
253	9794.49692
254	9788.25125
255	9737.999649
256	9701.893054
257	9658.30006
258	9625.636399
259	9606.304954
260	9569.145291
261	9543.400411
262	9509.573448
263	9470.61696
264	9464.581036
265	9415.509536
266	9375.908982
267	9349.976199
268	9308.74062
269	9303.346082
270	9258.185031
271	9228.834597
272	9211.572054
273	9193.056734
274	9189.583057
275	9161.685649
276	9122.362956
277	9090.428754
278	9088.37814
279	9066.114322
280	9055.660261
281	9033.486718
282	9009.365111
283	8963.288142
284	8931.737345
285	8896.751158
286	8865.260544
287	8831.02903
288	8817.051385
289	8788.220942
290	8759.347136
291	8755.779333
292	8719.377214
293	8700.664047
294	8678.788177
295	8648.81644
296	8645.135891
297	8643.036001
298	8617.904626
299	8607.784118
300	8565.427422
301	8555.931759
302	8527.813584
303	8526.071894
304	8499.465278
305	8468.371824
306	8441.000614
307	8408.097714
308	8392.7223
309	8390.991756
310	8383.753482
311	8357.419258
312	8338.335056
313	8326.642194
314	8302.816663
315	8253.019629
316	8219.602661
317	8191.246876
318	8189.71877
319	8188.132503
320	8143.578824
321	8115.376775
322	8093.560635
323	8068.366722
324	8066.174146
325	8038.354985
326	8022.514263
327	8019.549716
328	8007.612714
329	7991.68552
330	7947.431149
331	7923.656898
332	7887.319137
333	7874.396558
334	7850.653549
335	7828.53704
336	7804.079133
337	7785.202316
338	7768.650232
339	7761.510017
340	7750.785509
341	7732.173967
342	7702.51935
343	7671.316939
344	7640.793937
345	7616.636845
346	7613.161022
347	7599.495322
348	7598.213784
349	7596.369824
