iter	Passed	Remaining
0	3	2651
1	5	2399
2	8	2409
3	11	2374
4	13	2329
5	16	2276
6	18	2221
7	20	2186
8	23	2182
9	26	2172
10	28	2154
11	30	2137
12	33	2150
13	36	2185
14	40	2238
15	44	2306
16	47	2322
17	50	2332
18	53	2341
19	57	2357
20	60	2349
21	62	2339
22	65	2335
23	68	2322
24	70	2307
25	73	2297
26	75	2284
27	78	2271
28	80	2256
29	82	2243
30	85	2228
31	87	2213
32	89	2206
33	92	2194
34	94	2179
35	96	2163
36	98	2148
37	100	2133
38	102	2123
39	105	2125
40	108	2116
41	110	2105
42	112	2099
43	115	2090
44	117	2087
45	121	2098
46	124	2107
47	127	2105
48	129	2105
49	132	2100
50	134	2095
51	137	2095
52	140	2096
53	143	2091
54	145	2083
55	147	2076
56	150	2068
57	152	2060
58	154	2054
59	156	2048
60	159	2041
61	161	2033
62	163	2025
63	166	2022
64	168	2022
65	171	2022
66	174	2019
67	176	2015
68	179	2011
69	181	2005
70	184	2003
71	186	2002
72	189	1995
73	191	1988
74	193	1983
75	195	1976
76	197	1969
77	200	1962
78	202	1962
79	205	1957
80	207	1951
81	209	1945
82	211	1939
83	214	1935
84	216	1930
85	218	1922
86	220	1919
87	223	1914
88	225	1910
89	227	1907
90	230	1903
91	232	1900
92	235	1898
93	237	1895
94	240	1890
95	242	1885
96	244	1880
97	246	1877
98	249	1873
99	251	1869
100	254	1866
101	256	1862
102	258	1857
103	260	1853
104	263	1848
105	265	1844
106	267	1842
107	270	1838
108	272	1833
109	274	1828
110	276	1825
111	278	1820
112	281	1817
113	284	1816
114	286	1813
115	288	1809
116	290	1805
117	293	1801
118	295	1797
119	297	1794
120	300	1792
121	302	1788
122	304	1784
123	306	1780
124	309	1776
125	311	1772
126	313	1768
127	316	1768
128	318	1764
129	321	1760
130	323	1756
131	325	1753
132	327	1749
133	330	1746
134	332	1745
135	335	1743
136	337	1741
137	340	1737
138	342	1733
139	344	1729
140	346	1727
141	349	1723
142	351	1720
143	353	1717
144	356	1714
145	358	1711
146	361	1710
147	380	1788
148	382	1783
149	384	1778
150	386	1772
151	388	1767
152	390	1762
153	392	1757
154	395	1754
155	397	1752
156	400	1750
157	403	1748
158	406	1746
159	408	1744
160	411	1743
161	414	1743
162	417	1740
163	419	1737
164	422	1734
165	424	1730
166	426	1727
167	429	1725
168	431	1722
169	434	1719
170	436	1715
171	438	1711
172	440	1707
173	443	1703
174	445	1701
175	448	1698
176	450	1694
177	452	1690
178	454	1686
179	456	1682
180	458	1678
181	461	1675
182	463	1671
183	465	1668
184	467	1664
185	470	1660
186	472	1657
187	474	1654
188	477	1651
189	479	1649
190	482	1645
191	484	1642
192	486	1639
193	488	1635
194	490	1631
195	493	1629
196	496	1627
197	498	1624
198	501	1621
199	503	1619
200	505	1615
201	508	1612
202	510	1610
203	513	1606
204	515	1603
205	517	1600
206	519	1597
207	522	1593
208	524	1590
209	527	1589
210	529	1586
211	532	1583
212	534	1580
213	536	1577
214	538	1573
215	541	1570
216	543	1568
217	546	1566
218	548	1563
219	550	1559
220	552	1556
221	555	1553
222	557	1550
223	560	1547
224	562	1544
225	564	1540
226	566	1537
227	568	1534
228	571	1531
229	573	1528
230	576	1526
231	578	1523
232	580	1520
233	582	1517
234	585	1513
235	587	1510
236	589	1508
237	592	1505
238	594	1502
239	596	1499
240	599	1496
241	601	1493
242	603	1489
243	605	1487
244	608	1485
245	610	1482
246	612	1479
247	615	1475
248	617	1472
249	619	1469
250	621	1466
251	624	1464
252	626	1461
253	628	1457
254	631	1455
255	633	1451
256	635	1449
257	638	1447
258	640	1445
259	643	1442
260	645	1439
261	647	1436
