iter	RMSE
0	74003.32285
1	70144.46269
2	66402.36721
3	62734.48161
4	59106.74613
5	56075.49513
6	53280.69739
7	50512.00907
8	48220.39332
9	46283.15112
10	44020.86367
11	42377.93348
12	41022.78466
13	39483.69886
14	38124.49585
15	36788.26128
16	35643.69814
17	34434.61407
18	33466.56602
19	32214.80245
20	31146.50148
21	30169.83849
22	29196.99916
23	28457.26399
24	27685.0471
25	26896.80341
26	26246.01157
27	25666.64537
28	24988.6682
29	24350.61541
30	23730.3825
31	23344.68616
32	22860.15925
33	22453.13667
34	22001.18885
35	21547.78901
36	21110.48039
37	20684.20399
38	20262.4875
39	19877.99795
40	19553.23491
41	19151.60202
42	18858.22646
43	18609.32319
44	18332.2135
45	18037.0375
46	17721.08057
47	17474.11698
48	17196.28984
49	16982.99222
50	16757.27126
51	16528.79926
52	16332.1575
53	16107.49032
54	15922.51249
55	15769.11959
56	15570.93563
57	15343.5927
58	15129.1737
59	15043.97367
60	14867.26598
61	14664.46222
62	14456.95418
63	14288.91242
64	14105.26249
65	13959.22028
66	13812.16666
67	13692.9886
68	13523.68187
69	13353.80083
70	13219.80066
71	13085.64917
72	12975.21779
73	12812.51181
74	12678.63863
75	12563.58273
76	12455.1976
77	12310.99915
78	12215.56992
79	12089.0041
80	11982.15993
81	11952.88305
82	11918.08171
83	11886.10181
84	11732.59211
85	11605.11494
86	11513.29386
87	11390.45891
88	11369.38301
89	11352.15641
90	11332.03468
91	11243.47327
92	11151.71279
93	11036.14199
94	10898.49809
95	10783.43325
96	10650.64022
97	10590.99622
98	10558.22932
99	10471.87467
100	10396.82481
101	10325.08941
102	10272.04695
103	10184.57804
104	10076.20441
105	9983.85791
106	9935.74696
107	9802.07555
108	9724.967754
109	9584.87447
110	9518.889848
111	9446.971464
112	9313.297648
113	9228.743115
114	9086.030618
115	9005.83323
116	8907.779452
117	8831.067372
118	8715.810427
119	8606.158962
120	8510.588672
121	8438.139323
122	8358.962418
123	8260.520973
124	8200.423324
125	8147.80286
126	8066.449523
127	7950.720272
128	7892.907487
129	7847.464789
130	7787.613601
131	7723.600455
132	7642.46121
133	7590.07507
134	7536.432606
135	7494.774933
136	7404.980728
137	7367.678653
138	7306.81791
139	7271.04553
140	7199.851586
141	7094.125755
142	7028.118695
143	6991.758803
144	6902.87874
145	6823.605055
146	6797.584454
147	6743.211473
148	6676.666452
149	6602.895581
150	6560.40543
151	6517.432111
152	6465.326767
153	6402.146448
154	6360.913079
155	6326.945272
156	6248.470917
157	6186.37526
158	6161.987068
159	6111.312266
160	6052.711015
161	5995.919868
162	5974.58789
163	5924.784276
164	5857.530606
165	5794.781057
166	5735.414011
167	5681.831332
168	5673.858777
169	5624.53488
170	5571.774823
171	5512.321609
172	5463.692004
173	5419.320984
174	5354.460816
175	5300.159621
176	5238.150467
177	5177.338431
178	5119.113106
179	5083.149936
180	5059.91374
181	5010.774192
182	4983.437004
183	4933.093934
184	4894.533369
185	4856.671383
186	4811.210478
187	4753.645757
188	4693.172712
189	4652.568911
190	4601.769323
191	4568.845676
192	4523.217201
193	4487.682434
194	4438.988935
195	4402.64243
196	4368.339221
197	4354.926469
198	4290.89063
199	4270.089842
200	4236.418796
201	4193.350338
202	4181.756426
203	4136.381194
204	4091.318631
205	4045.718998
206	4024.02215
207	3987.251301
208	3954.472114
209	3908.42281
210	3885.792094
211	3851.092367
212	3794.896384
213	3758.681136
214	3703.409069
215	3662.949018
216	3608.96536
217	3552.959706
218	3515.362852
219	3470.31862
220	3445.812673
221	3395.831168
222	3370.822296
223	3339.033651
224	3307.216439
225	3277.486525
226	3263.852064
227	3220.284275
228	3181.379025
229	3154.24112
230	3132.534311
231	3102.785405
232	3075.837499
233	3061.773788
