iter	Passed	Remaining
0	33	33017
1	62	31312
2	91	30381
3	123	30859
4	153	30465
5	181	30093
6	211	29932
7	238	29532
8	268	29601
9	298	29580
10	329	29627
11	359	29620
12	389	29538
13	418	29493
14	447	29370
15	476	29309
16	506	29260
17	536	29248
18	565	29186
19	595	29186
20	624	29103
21	653	29047
22	669	28436
23	698	28388
24	730	28496
25	760	28491
26	790	28495
27	819	28458
28	847	28376
29	876	28340
30	905	28300
31	933	28243
32	968	28367
33	977	27777
34	1005	27722
35	1034	27703
36	1063	27689
37	1093	27674
38	1121	27644
39	1149	27598
40	1178	27566
41	1206	27520
42	1236	27525
43	1266	27522
44	1293	27450
45	1322	27422
46	1351	27406
47	1379	27358
48	1409	27357
49	1438	27329
50	1467	27313
51	1496	27284
52	1526	27283
53	1556	27264
54	1587	27272
55	1615	27232
56	1644	27202
57	1673	27172
58	1701	27138
59	1728	27080
60	1755	27028
61	1784	26990
62	1812	26963
63	1844	26972
64	1872	26931
65	1900	26900
66	1929	26863
67	1955	26803
68	1984	26775
69	2012	26738
70	2042	26721
71	2072	26712
72	2099	26659
73	2128	26633
74	2143	26430
75	2173	26423
76	2202	26397
77	2230	26371
78	2262	26372
79	2298	26431
80	2331	26456
81	2361	26432
82	2368	26166
83	2396	26130
84	2425	26109
85	2455	26099
86	2483	26058
87	2511	26029
88	2540	26006
89	2546	25745
90	2560	25581
91	2587	25540
92	2616	25513
93	2648	25528
94	2675	25492
95	2705	25474
96	2732	25438
97	2761	25420
98	2765	25173
99	2794	25151
100	2824	25136
101	2854	25128
102	2882	25105
103	2911	25079
104	2942	25078
105	2973	25080
106	3002	25060
107	3031	25041
108	3059	25012
109	3088	24991
110	3122	25006
111	3152	24995
112	3182	24981
113	3209	24944
114	3240	24934
115	3271	24927
116	3299	24901
117	3329	24884
118	3357	24860
119	3386	24832
120	3413	24800
121	3443	24778
122	3471	24749
123	3499	24723
124	3528	24698
125	3559	24688
126	3588	24666
127	3619	24657
128	3647	24626
129	3676	24606
130	3707	24594
131	3738	24580
132	3766	24551
133	3795	24528
134	3823	24496
135	3851	24467
136	3879	24437
137	3908	24412
138	3938	24394
139	3966	24368
140	3995	24343
141	4024	24319
142	4053	24295
143	4080	24258
144	4111	24243
145	4140	24216
146	4169	24196
147	4200	24180
148	4228	24150
149	4258	24131
150	4287	24108
151	4315	24075
152	4345	24054
153	4372	24020
154	4401	23996
155	4429	23967
156	4458	23941
157	4487	23915
158	4533	23978
159	4563	23959
160	4591	23928
161	4621	23907
162	4650	23878
163	4678	23849
164	4712	23850
165	4744	23839
166	4775	23820
167	4802	23785
168	4832	23759
169	4861	23734
170	4890	23706
171	4923	23700
172	4951	23672
173	4981	23645
174	5012	23628
175	5041	23604
176	5071	23582
177	5101	23557
178	5130	23533
179	5160	23510
180	5195	23508
181	5227	23496
182	5264	23501
183	5293	23473
184	5323	23451
185	5351	23419
186	5380	23391
187	5409	23363
188	5437	23332
189	5467	23308
190	5497	23286
191	5525	23254
192	5554	23226
193	5584	23200
194	5613	23175
195	5644	23155
196	5672	23123
197	5701	23092
198	5730	23065
199	5758	23035
200	5790	23016
201	5819	22990
202	5847	22958
203	5876	22928
204	5907	22907
205	5936	22880
206	5967	22862
207	6003	22857
208	6034	22839
209	6066	22821
210	6095	22791
211	6123	22761
212	6152	22733
213	6184	22714
214	6213	22687
215	6242	22659
216	6271	22630
217	6301	22604
218	6329	22573
219	6358	22544
220	6387	22516
221	6415	22483
222	6444	22454
223	6473	22427
224	6505	22406
225	6534	22379
226	6564	22353
227	6593	22326
228	6624	22302
229	6652	22270
230	6681	22241
231	6713	22223
232	6741	22191
233	6771	22165
234	6801	22141
235	6831	22116
236	6861	22089
237	6892	22067
238	6921	22038
239	6951	22012
240	6979	21981
241	7009	21956
242	7039	21931
243	7069	21903
244	7099	21877
245	7127	21845
246	7156	21817
247	7185	21788
248	7214	21760
249	7243	21731
250	7271	21699
251	7302	21674
252	7331	21646
253	7360	21619
254	7389	21589
255	7418	21561
256	7446	21526
257	7475	21498
258	7504	21469
259	7534	21445
260	7563	21414
261	7591	21384
262	7619	21352
263	7649	21324
264	7677	21294
265	7705	21261
266	7735	21235
267	7762	21201
268	7792	21176
269	7821	21148
270	7849	21116
271	7876	21081
272	7905	21052
273	7934	21022
274	7961	20989
275	7990	20959
276	8017	20927
277	8046	20898
278	8077	20875
279	8106	20846
280	8137	20822
281	8164	20788
282	8192	20755
283	8219	20722
284	8249	20695
285	8276	20662
286	8306	20636
287	8334	20604
288	8363	20575
289	8392	20547
290	8420	20517
291	8450	20488
292	8478	20458
293	8508	20432
294	8540	20409
295	8568	20380
296	8597	20350
297	8624	20316
298	8652	20286
299	8681	20257
300	8710	20227
301	8737	20194
302	8765	20164
303	8795	20136
304	8826	20112
305	8853	20079
306	8880	20045
307	8909	20017
308	8938	19988
309	8968	19961
310	8998	19936
311	9027	19906
312	9056	19878
313	9084	19846
314	9113	19817
315	9141	19787
316	9171	19760
317	9201	19734
318	9230	19706
319	9259	19677
320	9288	19647
321	9317	19618
322	9345	19588
323	9373	19557
324	9401	19526
325	9429	19495
326	9461	19471
327	9489	19441
328	9516	19408
329	9544	19377
330	9574	19350
331	9602	19319
332	9630	19289
333	9658	19260
334	9688	19232
335	9716	19200
336	9744	19170
337	9773	19142
338	9805	19119
339	9834	19090
340	9863	19061
341	9894	19036
342	9923	19007
343	9952	18978
344	9978	18944
345	10006	18913
346	10034	18882
347	10063	18854
348	10095	18831
349	10125	18804
350	10153	18774
351	10182	18744
352	10211	18716
353	10239	18686
354	10267	18654
355	10296	18625
356	10324	18596
357	10353	18566
358	10382	18537
359	10410	18507
360	10439	18478
361	10466	18447
362	10494	18416
363	10523	18386
364	10552	18358
365	10580	18327
366	10607	18295
367	10636	18266
368	10663	18235
369	10693	18207
370	10722	18178
371	10751	18149
372	10780	18121
373	10811	18096
374	10838	18064
375	10868	18036
376	10896	18007
377	10925	17977
378	10952	17945
379	10981	17916
380	11011	17889
381	11040	17860
382	11068	17831
383	11101	17808
384	11130	17779
385	11158	17749
386	11186	17718
387	11216	17691
388	11247	17665
389	11274	17634
390	11302	17603
391	11330	17574
392	11359	17545
393	11387	17515
394	11419	17491
395	11448	17461
396	11477	17432
397	11505	17402
398	11533	17371
399	11560	17341
400	11589	17311
401	11617	17282
402	11647	17254
403	11674	17222
404	11702	17192
405	11732	17164
406	11761	17136
407	11791	17109
408	11821	17081
409	11848	17050
410	11878	17023
411	11908	16995
412	11937	16966
413	11965	16937
414	11994	16908
415	12024	16880
416	12051	16849
417	12083	16823
418	12113	16797
419	12142	16768
420	12171	16739
421	12199	16709
422	12229	16682
423	12259	16654
424	12289	16626
425	12316	16595
426	12344	16565
427	12373	16535
428	12401	16507
429	12431	16479
430	12461	16451
431	12489	16421
432	12517	16391
433	12546	16362
434	12574	16332
435	12601	16301
436	12630	16272
437	12657	16241
438	12685	16210
439	12713	16180
440	12742	16151
441	12772	16124
442	12803	16098
443	12833	16070
444	12861	16040
445	12890	16011
446	12919	15982
